PC1 = [-0.73846793 -0.6742886 ]
PC2 = [ 0.6742886  -0.73846793]

Projected Data:-
             0         1
473  -9.921262 -0.866611
474  -6.996335  0.312721
475  -7.129814 -0.435027
476  -8.654329 -1.146385
477  -4.698637 -0.114872
478  -9.161840 -1.050464
479  -8.187921 -0.146120
480  -7.064970 -0.263035
481  -9.381414 -0.171776
482  -5.953448 -0.485179
483  -6.603013 -0.209876
484  -6.487974 -1.161862
485  -5.172801 -0.745680
486  -6.547827 -0.309675
487  -9.344806 -0.776337
488  -6.782528 -0.907024
489  -6.057626  0.180934
490  -8.010061 -1.017991
491  -8.024601 -0.773298
492  -7.223054 -1.053799
493  -7.476372 -0.389827
494  -6.093585 -0.365977
